sku,price,product_id,product_name,product_tags,stock_quantity,expiration_date,product_ratings,warranty_period,product_category,manufacturing_date,product_dimensions,product_description,color_size_variations
SKU-HOM-COO-00001,616.00,P000001,Essential Aluminum Cookware,"bestseller, family, new, trending",285,,2.8,3 years,Home & Kitchen,2025-02-17,119x74x6 cm,"A essential cookware made from aluminum, suitable for everyday use in the home & kitchen category.",Colors: Red/Gray; Sizes: XS/XL/S
SKU-TOY-ACT-00002,2024.52,P000002,Ultra Aluminum Action Figure,"durable, limited",13,,4.5,3 years,Toys,2025-04-04,59x48x18 cm,"A ultra action figure made from aluminum, suitable for everyday use in the toys category.",Colors: White; Sizes: XS/M
SKU-GRO-DAI-00003,1825.67,P000003,Classic Steel Dairy,"bestseller, limited, premium",1098,2023-04-03,2.7,No Warranty,Grocery,2021-09-13,111x85x40 cm,"A classic dairy made from steel, suitable for everyday use in the grocery category.",Colors: Red; Sizes: XS/S
SKU-HOM-DEC-00004,1591.02,P000004,Classic Silicone Decor,"bestseller, eco-friendly, family, premium",747,,3.4,3 months,Home & Kitchen,2021-11-30,90x39x45 cm,"A classic decor made from silicone, suitable for everyday use in the home & kitchen category.",Colors: Blue/Pink; Sizes: M/XL
SKU-BEA-MAK-00005,2055.39,P000005,Premium Glass Makeup,"eco-friendly, lightweight, professional, trending",646,2024-06-29,2.7,2 years,Beauty,2023-04-02,117x45x14 cm,"A premium makeup made from glass, suitable for everyday use in the beauty category.",Colors: Blue/Red/Green; Sizes: XL/L/One Size
SKU-GRO-SNA-00006,231.81,P000006,Portable Silicone Snack,"professional, trending",96,2026-08-18,2.9,No Warranty,Grocery,2025-10-30,106x59x39 cm,"A portable snack made from silicone, suitable for everyday use in the grocery category.",Colors: Gray/Green/Black/Silver; Sizes: XS/XL/M
SKU-GRO-BEV-00007,399.59,P000007,Classic Leather Beverage,"family, giftable, limited, sale",6,2027-12-30,4.3,No Warranty,Grocery,2025-01-18,69x18x56 cm,"A classic beverage made from leather, suitable for everyday use in the grocery category.",Colors: Silver/Blue; Sizes: XL/XS/M
SKU-OFF-STA-00008,2197.40,P000008,Compact Cotton Stationery,"bestseller, eco-friendly, giftable",629,,2.6,2 years,Office,2022-05-06,15x15x47 cm,"A compact stationery made from cotton, suitable for everyday use in the office category.",Colors: Pink/Gray; Sizes: M
SKU-TOY-ACT-00009,1783.80,P000009,Mini Glass Action Figure,"limited, professional",817,,4.1,1 year,Toys,2024-10-07,120x71x29 cm,"A mini action figure made from glass, suitable for everyday use in the toys category.",Colors: Silver; Sizes: XL
SKU-BEA-WEL-00010,182.12,P000010,Eco Steel Wellnes,"lightweight, limited, professional, sale",1292,2022-06-19,2.7,No Warranty,Beauty,2021-05-01,115x47x5 cm,"A eco wellnes made from steel, suitable for everyday use in the beauty category.",Colors: Brown/Pink; Sizes: L
SKU-TOY-ACT-00011,1649.15,P000011,Compact Plastic Action Figure,"new, trending",725,,3.5,3 years,Toys,2023-05-18,11x88x42 cm,"A compact action figure made from plastic, suitable for everyday use in the toys category.",Colors: White/Red/Gray; Sizes: XL
SKU-OFF-FUR-00012,699.96,P000012,Deluxe Wood Furniture,"family, giftable",511,,4.8,1 year,Office,2025-11-26,108x75x7 cm,"A deluxe furniture made from wood, suitable for everyday use in the office category.",Colors: White; Sizes: S
SKU-TOY-OUT-00013,2162.29,P000013,Ultra Glass Outdoor Toy,"giftable, lightweight, professional",120,,3.4,1 year,Toys,2021-12-04,38x63x19 cm,"A ultra outdoor toy made from glass, suitable for everyday use in the toys category.",Colors: Red/Green; Sizes: XS
SKU-ELE-ACC-00014,1462.51,P000014,Premium Steel Accessorie,"bestseller, premium",1029,,3.8,No Warranty,Electronics,2025-10-13,70x15x55 cm,"A premium accessorie made from steel, suitable for everyday use in the electronics category.",Colors: Red; Sizes: XS/XL
SKU-BEA-WEL-00015,1550.35,P000015,Max Steel Wellnes,"durable, limited, sale, trending",858,2026-10-25,3.9,6 months,Beauty,2024-09-08,38x31x43 cm,"A max wellnes made from steel, suitable for everyday use in the beauty category.",Colors: Green/Pink; Sizes: XS/One Size
SKU-OFF-TEC-00016,187.78,P000016,Max Plastic Tech,"durable, sale",436,,3.2,6 months,Office,2023-11-03,117x13x57 cm,"A max tech made from plastic, suitable for everyday use in the office category.",Colors: Pink/Gray; Sizes: M/XL/XS
SKU-SPO-FIT-00017,292.98,P000017,Portable Aluminum Fitnes,"durable, giftable, limited, sale",219,,3.9,6 months,Sports,2025-03-01,41x82x14 cm,"A portable fitnes made from aluminum, suitable for everyday use in the sports category.",Colors: Green/Black/White/Silver; Sizes: M/XS
SKU-ELE-ACC-00018,408.14,P000018,Portable Aluminum Accessorie,"durable, eco-friendly, giftable, new",904,,4.3,2 years,Electronics,2024-02-04,6x19x5 cm,"A portable accessorie made from aluminum, suitable for everyday use in the electronics category.",Colors: Gold/Blue; Sizes: M
SKU-GRO-BEV-00019,1706.75,P000019,Smart Glass Beverage,"eco-friendly, professional",1365,2023-01-23,4.5,No Warranty,Grocery,2021-07-30,84x24x60 cm,"A smart beverage made from glass, suitable for everyday use in the grocery category.",Colors: Black/Blue/Silver/Gold; Sizes: One Size/S
SKU-SPO-OUT-00020,959.43,P000020,Essential Plastic Outdoor,"limited, new, professional",79,,3.7,3 months,Sports,2025-10-25,109x63x23 cm,"A essential outdoor made from plastic, suitable for everyday use in the sports category.",Colors: Gold/Silver; Sizes: XS/M
SKU-GRO-DAI-00021,2348.39,P000021,Deluxe Cotton Dairy,"durable, professional, trending",236,2027-02-22,2.9,No Warranty,Grocery,2025-12-02,9x18x39 cm,"A deluxe dairy made from cotton, suitable for everyday use in the grocery category.",Colors: Gold; Sizes: S/M/XS
SKU-TOY-EDU-00022,913.72,P000022,Mini Glass Educational,"professional, sale",143,,4.8,2 years,Toys,2024-09-22,45x89x55 cm,"A mini educational made from glass, suitable for everyday use in the toys category.",Colors: Gold/Silver/Brown; Sizes: M/XL/S
SKU-BEA-FRA-00023,1694.90,P000023,Pro Leather Fragrance,"limited, premium, trending",356,2026-07-16,3.3,2 years,Beauty,2024-06-14,111x5x20 cm,"A pro fragrance made from leather, suitable for everyday use in the beauty category.",Colors: Pink/Brown/Gray; Sizes: S/XL/L
SKU-FAS-MEN-00024,237.99,P000024,Classic Cotton Men,"lightweight, premium",481,,3.3,3 months,Fashion,2024-10-09,23x8x3 cm,"A classic men made from cotton, suitable for everyday use in the fashion category.",Colors: Pink; Sizes: One Size/XL
SKU-BEA-FRA-00025,613.73,P000025,Ultra Leather Fragrance,"giftable, professional",1343,2025-05-13,4.7,No Warranty,Beauty,2024-11-09,104x59x15 cm,"A ultra fragrance made from leather, suitable for everyday use in the beauty category.",Colors: Black/Gray/Red/Gold; Sizes: L
SKU-FAS-SHO-00026,2375.34,P000026,Pro Cotton Shoe,"lightweight, professional",906,,4.5,2 years,Fashion,2024-06-08,59x75x29 cm,"A pro shoe made from cotton, suitable for everyday use in the fashion category.",Colors: Green/Red/Brown/Gold; Sizes: L/S/M
SKU-OFF-STA-00027,590.05,P000027,Essential Aluminum Stationery,"eco-friendly, limited, professional",687,,4.7,No Warranty,Office,2022-10-17,22x24x15 cm,"A essential stationery made from aluminum, suitable for everyday use in the office category.",Colors: Gold; Sizes: M/XL
SKU-OFF-ORG-00028,2083.05,P000028,Premium Glass Organization,"durable, new, sale",797,,4.0,3 years,Office,2025-04-26,7x78x25 cm,"A premium organization made from glass, suitable for everyday use in the office category.",Colors: Gold/Gray/Red/Pink; Sizes: M
SKU-TOY-OUT-00029,843.63,P000029,Premium Leather Outdoor Toy,"giftable, premium",1390,,3.5,3 months,Toys,2025-06-23,112x64x59 cm,"A premium outdoor toy made from leather, suitable for everyday use in the toys category.",Colors: Gold; Sizes: XL/XS/One Size
SKU-TOY-ACT-00030,130.45,P000030,Ultra Wood Action Figure,"bestseller, lightweight, sale",776,,3.0,6 months,Toys,2022-11-02,48x53x18 cm,"A ultra action figure made from wood, suitable for everyday use in the toys category.",Colors: Gray; Sizes: M
